cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed
d77245350,139,205,Passed,32,3.32,1,2010-06-03T11:30:50+10:00,2010-06-03T11:31:19+10:00,2010-06-03T11:31:19+10:00,2010-06-03T11:31:23+10:00,2010-06-03T11:33:25+10:00,2010-06-03T11:33:42+10:00
d77245350,146,209,Passed,33,3.33,2,2010-06-03T11:53:13+10:00,2010-06-03T11:53:15+10:00,2010-06-03T11:53:15+10:00,2010-06-03T11:53:18+10:00,2010-06-03T11:55:26+10:00,2010-06-03T11:55:44+10:00
d77245350,132,215,Passed,34,3.34,1,2010-06-03T12:29:00+10:00,2010-06-03T12:29:10+10:00,2010-06-03T12:29:10+10:00,2010-06-03T12:29:14+10:00,2010-06-03T12:31:08+10:00,2010-06-03T12:31:27+10:00
d77245350,153,226,Passed,35,3.35,1,2010-06-03T15:45:52+10:00,2010-06-03T15:46:02+10:00,2010-06-03T15:46:02+10:00,2010-06-03T15:46:06+10:00,2010-06-03T15:48:20+10:00,2010-06-03T15:48:39+10:00
d77245350,136,233,Passed,37,3.37,1,2010-06-03T16:11:34+10:00,2010-06-03T16:11:44+10:00,2010-06-03T16:11:44+10:00,2010-06-03T16:11:47+10:00,2010-06-03T16:13:48+10:00,2010-06-03T16:14:04+10:00
d77245350,136,238,Passed,38,3.38,1,2010-06-03T16:34:30+10:00,2010-06-03T16:34:40+10:00,2010-06-03T16:34:40+10:00,2010-06-03T16:34:43+10:00,2010-06-03T16:36:43+10:00,2010-06-03T16:36:59+10:00
d77245350,151,244,Passed,39,3.39,1,2010-06-03T18:10:45+10:00,2010-06-03T18:10:55+10:00,2010-06-03T18:10:55+10:00,2010-06-03T18:10:58+10:00,2010-06-03T18:13:12+10:00,2010-06-03T18:13:29+10:00
d77245350,148,250,Passed,40,3.40,1,2010-06-04T09:14:18+10:00,2010-06-04T09:14:28+10:00,2010-06-04T09:14:28+10:00,2010-06-04T09:14:31+10:00,2010-06-04T09:16:42+10:00,2010-06-04T09:16:59+10:00
d77245350,152,256,Passed,41,3.41,1,2010-06-04T10:41:01+10:00,2010-06-04T10:41:11+10:00,2010-06-04T10:41:11+10:00,2010-06-04T10:41:15+10:00,2010-06-04T10:43:29+10:00,2010-06-04T10:43:47+10:00
d77245350,150,264,Passed,42,3.42,1,2010-06-04T11:47:15+10:00,2010-06-04T11:47:31+10:00,2010-06-04T11:47:31+10:00,2010-06-04T11:47:35+10:00,2010-06-04T11:49:47+10:00,2010-06-04T11:50:05+10:00
